9) เขตเศรษฐกิจพิเศษ	480		
Environment: Natural capital endowment and management	478	Environment	Environment
Recreation	476	Health	Health
Economic Policy & Debt: External debt: Commitments	476	Economy and finance	Economy
เศรษฐกิจ การเงิน และอุตสาหกรรม	476		
Environnement, ressources naturelles et énergie	475	Environment	Environment
エネルギー・水	470		
くらしの情報	470		
税金	469		
Öffentliche Verwaltung, Haushalt und Steuern	469		
Local government	468	Regions and cities	
休閒旅遊	467		
Your rights, crime and the law	464		
Census population	464	Population and society	Society
大気環境	463		
購屋及遷徒	463		
11) การพัฒนาศักยภาพคนตลอดช่วงชีวิต	460		
Somalia	459		
Sudan	459		
Agricultural Census 2001. Discontinued datasets	458	Agriculture, fisheries, forestry and food	Farming
8) ผู้ประกอบการและวิสาหกิจขนาดกลางและขนาดย่อมยุคใหม่	452		
Global liquidity	450		
City Administration	448	Regions and cities	
เมืองและภูมิภาค	442		
防災・災害計画	440		
Dominican Republic	439		
Hacienda	438		
Uganda	438		
Barriers to Use	434		
Colombia	434		
Market Conduct and Consumer Protection	434		
Salute	433	Health	Health
Fiscal Openness	433	Economy and finance|Government and public sector	Economy
統計數據	432		
Health and wellbeing	428	Health	Health
Contemporary	426		
South Sudan	426		
I Economically active agricultural holdings	423	Economy and finance	Economy
Ποιότητα ζωής	420		
แผนปฏิบัติงาน/การดำเนินงาน/โครงการ	420		
Economy and Demographics	418	Economy and finance	Economy
Ghana	416		
Социологические опросы	415		
Agricultura y Desarrollo Rural	413	Agriculture, fisheries, forestry and food	Farming
Occupation des sols	412		
15) พลังทางสังคม	412		
GIS/Maps	410		Imagery / Base Maps / Earth Cover
Pendidikan	410	Education, culture and sport	
Use of Benefits and Services	406		
Accounts Financial Monetary Affairs and Industry	405	Economy and finance	
Bevölk­erung	403		
人口減少・少子高齢化	403	Population and society	Society
Administration, Gouvernement, Finances publiques, Citoyenneté	401	Government and public sector	
Diário Oficial dos Municípios - CIGA DIÁRIO	401		
Oktatás, kultúra és sport	401	Education, culture and sport	
Governance	399	Government and public sector	
Human Services	397		
Transparencia	396	Government and public sector	
eTab	393		
Geospatial	391		
Democratic Republic of the Congo	388		
Health and welfare	388	Health	Health
Labour Market	387		
Instrumentos e Projetos Territoriais	386		Planning / Cadastre
Vivienda	384		
Cameroon	381		
Stadt Köln	380		
19) การบริหารจัดการน้ำทั้งระบบ	379		
e-Stat分類-行政	379		
Right to Information	374		
Financial Inclusion : Microfinance Definitions	372	Economy and finance	Economy
Samlad_planering	372		
Afghanistan	370		
Bangladesh	370		
Key Outcome Indicators	368		
交通及通訊	362		
Cultura y ocio	361		
産業雇用創出	361		
Boundaries	360		Boundaries
Population and Housing	360	Population and society	Society
静岡県-防災・安全・防犯	358		
Government and Taxes	357	Government and public sector|Economy and finance	Economy
Technology	357		
Gouvernement et finances	355	Government and public sector|Economy and finance	Economy
Industry	355	Economy and finance	Economy
Khoa học xã hội	354		
Οικονομική δραστηριότητα	354		
Raum und Umwelt	354		
Finance & Administration	354	Economy and finance|Government and public sector	
Maps and geospatial	353		Imagery / Base Maps / Earth Cover
Senegal	352		
Ympäristö ja luonto	352		
คมนาคมและโลจิสติกส์	351		
SLIP Data Downloads	350		
Rakennettu ympäristö ja infrastruktuuri	350		
Mozambique	349		
観光	348		
Health & Human Services	347	Health	Health
Energia	347	Energy	
Seguridad	347		
Skogsstyrelsens statistikdatabas	346		
Sosial	346		
Surveys	345	Population and society	Society
