Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
Finanzas de Gobierno,1467,CKAN,Theme,,GOVE,
Transport,1398,CKAN,Theme,Transportation,TRAN,
planningCadastre,1395,,Keyword,Planning / Cadastre,,
Utility and governmental services,1358,,Keyword,,GOVE,
Society,1349,CKAN,Theme,Society,SOCI,
Continent > North America > United States Of Ameri,1346,,Keyword,,,United States
intelligenceMilitary,1341,Geonetwork,Theme,Intelligence / Military,GOVE,
"Administration, Gouvernement, Finances publiques, Citoyenneté",1314,OpenDataSoft,Theme,,GOVE,
Climatology,1302,CKAN,Theme,Environment,ENVI,
census data,1262,,Keyword,Society,SOCI,
Climate Indices,1258,CKAN,Theme,Environment,ENVI,
Licitações,1254,CKAN,Theme,,ECON,
Contratos,1254,CKAN,Theme,Economy,"ECON,GOVE",
Salud,1253,CKAN,Theme,Health,HEAL,
Marine Environmental Data and Information Network,1237,,Keyword,"Environment,Oceans",ENVI,
South Australia,1232,,Keyword,,,Australia
Salud,1222,,Keyword,Health,HEAL,
OCEAN > ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > GULF OF MEXICO`,1201,,Keyword,Oceans,,
printed-maps,1197,,Keyword,Imagery / Base Maps / Earth Cover,,
Remotely Sensed Imagery/Photography,1196,,Keyword,Imagery / Base Maps / Earth Cover,,
basemap,1195,,Keyword,Imagery / Base Maps / Earth Cover,,
salud,1183,,Keyword,Health,HEAL,
demografia,1179,,Keyword,Society,SOCI,
Transportation,1169,DCAT,Theme,Transportation,TRAN,
Natural Environment Research Council Designated Data Centres,1150,,Keyword,Environment,ENVI,
Inland Waters,1114,DCAT,Theme,Inland Waters,ENVI,
Economia e Finanças,1089,CKAN,Theme,Economy,ECON,
buildings,1085,,Keyword,Structure,,
Budget Vote Documents,1084,CKAN,Theme,Economy,"ECON,GOVE",
planningcadastre,1084,,Keyword,Planning / Cadastre,,
政策・統計等,1079,CKAN,Theme,,GOVE,
source-geologic-maps,1077,,Keyword,Imagery / Base Maps / Earth Cover,,
source-maps,1077,,Keyword,Imagery / Base Maps / Earth Cover,,
Economy,1071,CKAN,Theme,Economy,ECON,
Planning cadastre,1041,,Keyword,Planning / Cadastre,,
sensitivity maps,1037,,Keyword,Imagery / Base Maps / Earth Cover,,
orthoimagerie,1025,,Keyword,Imagery / Base Maps / Earth Cover,,
coronavirus,1011,,Keyword,Health,HEAL,
